username,fullname,email,department,site,groups,ou
mathilde.dumont,Mathilde Dumont,mathilde.dumont@nova-syndicate.fr,IT,Lyon,Lyon-Staff|IT-Admins,"OU=Lyon,DC=nova-syndicate,DC=local"
jerome.schneider,Jerome Schneider,jerome.schneider@nova-syndicate.fr,IT,Lyon,Lyon-Staff|IT-Admins,"OU=Lyon,DC=nova-syndicate,DC=local"
helene.legrand,Helene Legrand,helene.legrand@nova-syndicate.fr,IT,Lyon,Lyon-Staff|IT-Admins,"OU=Lyon,DC=nova-syndicate,DC=local"
isabelle.gilles,Isabelle Gilles,isabelle.gilles@nova-syndicate.fr,IT,Lyon,Lyon-Staff|IT-Admins,"OU=Lyon,DC=nova-syndicate,DC=local"
quentin.robert,Quentin Robert,quentin.robert@nova-syndicate.fr,IT,Lyon,Lyon-Staff|IT-Admins,"OU=Lyon,DC=nova-syndicate,DC=local"
camille.gauthier,Camille Gauthier,camille.gauthier@nova-syndicate.fr,IT,Lyon,Lyon-Staff|IT-Admins,"OU=Lyon,DC=nova-syndicate,DC=local"
sebastien.guerin,Sebastien Guerin,sebastien.guerin@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
romain.garnier,Romain Garnier,romain.garnier@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
cedric.dubois,Cedric Dubois,cedric.dubois@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
sebastien.colin,Sebastien Colin,sebastien.colin@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
fabien.bonnet,Fabien Bonnet,fabien.bonnet@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
clement.gilles,Clement Gilles,clement.gilles@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
florian.michel,Florian Michel,florian.michel@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
pauline.poirier,Pauline Poirier,pauline.poirier@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
marie.vincent,Marie Vincent,marie.vincent@nova-syndicate.fr,Sales,Lyon,Lyon-Staff|Sales,"OU=Lyon,DC=nova-syndicate,DC=local"
philippe.fontaine,Philippe Fontaine,philippe.fontaine@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
clara.simon,Clara Simon,clara.simon@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
quentin.dumont,Quentin Dumont,quentin.dumont@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
marine.muller,Marine Muller,marine.muller@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
aurelie.muller,Aurelie Muller,aurelie.muller@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
isabelle.fernandez,Isabelle Fernandez,isabelle.fernandez@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
claire.joly,Claire Joly,claire.joly@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
helene.boyer,Helene Boyer,helene.boyer@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
mathilde.remy,Mathilde Remy,mathilde.remy@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
sophie.poirier,Sophie Poirier,sophie.poirier@nova-syndicate.fr,Logistics,Lyon,Lyon-Staff|Logistics,"OU=Lyon,DC=nova-syndicate,DC=local"
sarah.lemaire,Sarah Lemaire,sarah.lemaire@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
jerome.dupont,Jerome Dupont,jerome.dupont@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
yann.dubois,Yann Dubois,yann.dubois@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
emma.vasseur,Emma Vasseur,emma.vasseur@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
camille.vincent,Camille Vincent,camille.vincent@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
marine.fleury,Marine Fleury,marine.fleury@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
sarah.henry,Sarah Henry,sarah.henry@nova-syndicate.fr,Finance,Lyon,Lyon-Staff|Finance,"OU=Lyon,DC=nova-syndicate,DC=local"
maxime.gerard,Maxime Gerard,maxime.gerard@nova-syndicate.fr,HR,Lyon,Lyon-Staff,"OU=Lyon,DC=nova-syndicate,DC=local"
pauline.lefevre,Pauline Lefevre,pauline.lefevre@nova-syndicate.fr,HR,Lyon,Lyon-Staff,"OU=Lyon,DC=nova-syndicate,DC=local"
